timestamp,machine_id,lat,lon,pgn,byte0,byte1,byte2,byte3
2026-06-01T08:00:00Z,KZ-TR-001,43.258,76.943,65265,0x00,0x00,0x40,0x02
2026-06-01T08:00:00Z,KZ-TR-001,43.258,76.943,65266,0x00,0x20,0x03,0x00
2026-06-01T08:00:00Z,KZ-TR-001,43.258,76.943,65280,0x10,0x27,0x00,0x00
2026-06-01T08:01:00Z,KZ-TR-001,43.255,76.943,65265,0x00,0x00,0x40,0x02
2026-06-01T08:01:00Z,KZ-TR-001,43.255,76.943,65266,0x00,0x20,0x03,0x00
2026-06-01T08:01:00Z,KZ-TR-001,43.255,76.943,65280,0x10,0x27,0x00,0x00
2026-06-01T08:02:00Z,KZ-TR-001,43.259,76.941,65265,0x00,0x00,0x40,0x02
2026-06-01T08:02:00Z,KZ-TR-001,43.259,76.941,65266,0x00,0x20,0x03,0x00
2026-06-01T08:02:00Z,KZ-TR-001,43.259,76.941,65280,0x10,0x27,0x00,0x00
2026-06-01T08:03:00Z,KZ-TR-001,43.257,76.946,65265,0x00,0x00,0x40,0x02
2026-06-01T08:03:00Z,KZ-TR-001,43.257,76.946,65266,0x00,0x20,0x03,0x00
2026-06-01T08:03:00Z,KZ-TR-001,43.257,76.946,65280,0x10,0x27,0x00,0x00
2026-06-01T08:04:00Z,KZ-TR-001,43.255,76.943,65265,0x00,0x00,0x40,0x02
2026-06-01T08:04:00Z,KZ-TR-001,43.255,76.943,65266,0x00,0x20,0x03,0x00
2026-06-01T08:04:00Z,KZ-TR-001,43.255,76.943,65280,0x10,0x27,0x00,0x00
2026-06-01T08:05:00Z,KZ-TR-001,43.262,76.940,65265,0x00,0x00,0x40,0x02
2026-06-01T08:05:00Z,KZ-TR-001,43.262,76.940,65266,0x00,0x20,0x03,0x00
2026-06-01T08:05:00Z,KZ-TR-001,43.262,76.940,65280,0x10,0x27,0x00,0x00
2026-06-01T08:06:00Z,KZ-TR-001,43.262,76.944,65265,0x00,0x00,0x40,0x02
2026-06-01T08:06:00Z,KZ-TR-001,43.262,76.944,65266,0x00,0x20,0x03,0x00
2026-06-01T08:06:00Z,KZ-TR-001,43.262,76.944,65280,0x10,0x27,0x00,0x00
2026-06-01T08:07:00Z,KZ-TR-001,43.263,76.946,65265,0x00,0x00,0x40,0x02
2026-06-01T08:07:00Z,KZ-TR-001,43.263,76.946,65266,0x00,0x20,0x03,0x00
2026-06-01T08:07:00Z,KZ-TR-001,43.263,76.946,65280,0x10,0x27,0x00,0x00
2026-06-01T08:08:00Z,KZ-TR-001,43.262,76.943,65265,0x00,0x00,0x40,0x02
2026-06-01T08:08:00Z,KZ-TR-001,43.262,76.943,65266,0x00,0x20,0x03,0x00
2026-06-01T08:08:00Z,KZ-TR-001,43.262,76.943,65280,0x10,0x27,0x00,0x00
2026-06-01T08:09:00Z,KZ-TR-001,43.263,76.941,65265,0x00,0x00,0x40,0x02
2026-06-01T08:09:00Z,KZ-TR-001,43.263,76.941,65266,0x00,0x20,0x03,0x00
2026-06-01T08:09:00Z,KZ-TR-001,43.263,76.941,65280,0x10,0x27,0x00,0x00
2026-06-01T08:10:00Z,KZ-TR-001,43.262,76.944,65265,0x00,0x00,0x40,0x02
2026-06-01T08:10:00Z,KZ-TR-001,43.262,76.944,65266,0x00,0x20,0x03,0x00
2026-06-01T08:10:00Z,KZ-TR-001,43.262,76.944,65280,0x10,0x27,0x00,0x00
2026-06-01T08:11:00Z,KZ-TR-001,43.257,76.944,65265,0x00,0x00,0x40,0x02
